model,task,mse,rmse,mae
MLP_joint,CMB_DaeJeon_LTE_2.1G.csv,65.50185223095859,8.09332145852113,6.137797090716643
MLP_joint,MBC_ChungJu_LTE_2.1G.csv,115.20150412131771,10.733196360885126,7.806263361651223
MLP_joint,KBS_ChungJu_LTE_2.1G.csv,105.20330299602782,10.256866139129817,7.566483589780429
MLP_joint,KBS_main_LTE_2.1G.csv,46.48476644854308,6.817973778810173,5.050083162076694
MLP_joint,SBS_LTE_2.1G.csv,44.30853108403538,6.656465359636102,4.916013464305972
MLP_joint,MBC_sa_LTE_2.1G.csv,86.4154464846666,9.295990882346358,6.824540633991809
MLP_joint,KBS_KangNeung_LTE_2.1G.csv,92.28588276234167,9.606554156529889,6.353465960541653
MLP_joint,MBC_KangNeung_LTE_2.1G.csv,64.10173698365735,8.006356036528562,5.080913061854692
MLP_joint,TBN_DaeGu_LTE_2.1G.csv,96.95501677418356,9.846573859682543,6.9050989812927135
MLP_joint,TBC_DaeGu_LTE_2.1G.csv,97.52857198944018,9.8756555220117,6.962763667793821
MLP_joint,JeonJu_Radio_LTE_2.1G.csv,77.95702970915539,8.829327817515635,6.445226669899384
MLP_joint,KBS_JeonJu_LTE_2.1G.csv,70.846009552778,8.417007161264507,6.2413638554728665
MLP_joint,KBS_MokPo_LTE_2.1G.csv,59.72688320945668,7.728316971337076,6.0823281305678965
MLP_joint,KBS_SunCheon_LTE_2.1G.csv,211.46118875520784,14.541705152945712,10.644731494646392
MLP_joint,KBS_GwangJu_LTE_2.1G.csv,58.384950372010614,7.6410045394575326,5.778133426436518
